Wall time,Step,Value
1669741924.672068,3624,2414.289306640625
1669742902.9356213,7249,2073.793701171875
1669743874.7497861,10874,2019.4892578125
1669744846.1273868,14499,1985.7462158203125
1669745819.9212482,18124,1965.4725341796875
1669746790.5802677,21749,1951.521484375
1669747760.169478,25374,1936.64404296875
1669748731.0380046,28999,1928.56689453125
1669749702.6374154,32624,1917.6845703125
1669750671.9836075,36249,1910.2884521484375
1669751640.8437173,39874,1906.483154296875
1669752610.7405457,43499,1900.259033203125
1669753575.785623,47124,1894.621337890625
1669754547.4329925,50749,1889.1226806640625
1669755518.205625,54374,1885.2493896484375
1669756490.4850767,57999,1881.033203125
1669757460.6019022,61624,1876.6080322265625
1669758432.831327,65249,1870.770751953125
1669759402.2546144,68874,1871.2783203125
1669760372.3009174,72499,1865.1812744140625
