Wall time,Step,Value
1669743269.8966892,3999,3895.599609375
1669744823.64258,7999,3445.905029296875
1669746376.680024,11999,3354.362548828125
1669747930.325292,15999,3269.0712890625
1669749483.2638893,19999,3228.107666015625
1669751036.129122,23999,3188.65380859375
1669752589.1381483,27999,3153.9404296875
1669754142.3225086,31999,3150.75634765625
1669755695.940713,35999,3121.16357421875
1669757247.4530497,39999,3107.487548828125
1669758800.8409953,43999,3084.175537109375
1669760353.9029558,47999,3081.515869140625
1669761906.5660245,51999,3063.82763671875
1669763459.5489757,55999,3075.941162109375
1669765012.416292,59999,3059.364990234375
1669766565.233663,63999,3041.7373046875
1669768118.174282,67999,3064.224853515625
1669769671.2360868,71999,3036.94091796875
1669771223.8806481,75999,3039.31494140625
1669772776.626818,79999,3048.30810546875
