Wall time,Step,Value
1669742915.9008775,3999,3831.972412109375
1669744446.8791597,7999,3402.17529296875
1669745976.6655178,11999,3318.841796875
1669747507.0738986,15999,3240.28173828125
1669749036.9810874,19999,3199.888671875
1669750567.2074656,23999,3161.803466796875
1669752098.0798893,27999,3128.054443359375
1669753628.8693616,31999,3120.31982421875
1669755159.150452,35999,3095.277099609375
1669756688.5599606,39999,3087.1416015625
1669758218.801952,43999,3062.1669921875
1669759749.3585753,47999,3060.868896484375
1669761279.4023921,51999,3044.313720703125
1669762809.7347448,55999,3053.608642578125
1669764339.4606442,59999,3042.688720703125
1669765869.5670009,63999,3024.12158203125
1669767400.935011,67999,3044.6103515625
1669768931.2311091,71999,3013.923095703125
1669770461.185223,75999,3019.79052734375
1669771990.9141357,79999,3026.740234375
