Wall time,Step,Value
1669741924.6719804,3624,2415.35791015625
1669742902.9355292,7249,2074.82568359375
1669743874.7496982,10874,2020.5186767578125
1669744846.1272998,14499,1986.76611328125
1669745819.9211614,18124,1966.4927978515625
1669746790.580181,21749,1952.536865234375
1669747760.1693828,25374,1937.6588134765625
1669748731.037916,28999,1929.578125
1669749702.6373258,32624,1918.6959228515625
1669750671.983519,36249,1911.2962646484375
1669751640.8436303,39874,1907.4937744140625
1669752610.7404466,43499,1901.268310546875
1669753575.785536,47124,1895.62548828125
1669754547.4329073,50749,1890.1226806640625
1669755518.2055373,54374,1886.2481689453125
1669756490.4849849,57999,1882.0263671875
1669757460.6018147,61624,1877.595947265625
1669758432.8312392,65249,1871.7572021484375
1669759402.2545276,68874,1872.2633056640625
1669760372.3008301,72499,1866.164794921875
