Wall time,Step,Value
1669743269.8965993,3999,3896.869140625
1669744823.642488,7999,3447.1572265625
1669746376.6799362,11999,3355.613037109375
1669747930.3252037,15999,3270.319580078125
1669749483.2638,19999,3229.357421875
1669751036.1290247,23999,3189.89306640625
1669752589.1380513,27999,3155.18115234375
1669754142.3224187,31999,3151.99853515625
1669755695.9406207,35999,3122.406494140625
1669757247.4529552,39999,3108.719970703125
1669758800.8409052,43999,3085.4072265625
1669760353.9028676,47999,3082.74755859375
1669761906.5659328,51999,3065.053955078125
1669763459.5488846,55999,3077.177978515625
1669765012.4162028,59999,3060.594482421875
1669766565.2335734,63999,3042.961181640625
1669768118.1741953,67999,3065.46435546875
1669769671.2359893,71999,3038.169921875
1669771223.8805568,75999,3040.544921875
1669772776.626729,79999,3049.5458984375
