Wall time,Step,Value
1669742915.9007812,3999,3833.180908203125
1669744446.8790672,7999,3403.388671875
1669745976.6654243,11999,3320.055419921875
1669747507.073801,15999,3241.48291015625
1669749036.9809976,19999,3201.089599609375
1669750567.207374,23999,3162.995361328125
1669752098.0797994,27999,3129.242431640625
1669753628.8692725,31999,3121.50390625
1669755159.150364,35999,3096.461181640625
1669756688.559857,39999,3088.32470703125
1669758218.8018482,43999,3063.353759765625
1669759749.3584888,47999,3062.046142578125
1669761279.4023046,51999,3045.49169921875
1669762809.7346563,55999,3054.783447265625
1669764339.4605527,59999,3043.85986328125
1669765869.5669131,63999,3025.289794921875
1669767400.9349205,67999,3045.781982421875
1669768931.2310202,71999,3015.093994140625
1669770461.1851137,75999,3020.960205078125
1669771990.9140346,79999,3027.916259765625
