Wall time,Step,Value
1669378603.9200377,9,1532.8072509765625
1669378637.8427901,19,836.1444091796875
1669378671.6649992,29,686.9169311523438
1669378705.1460128,39,576.1246948242188
1669378739.3828156,49,526.2703247070312
1669378773.2133207,59,497.4177551269531
1669378807.349923,69,441.183837890625
1669378841.2030382,79,449.190185546875
1669378874.894133,89,417.1131896972656
1669378908.7822843,99,396.61737060546875
1669378942.2930186,109,378.5674743652344
1669378975.7606907,119,368.05670166015625
1669379009.4490745,129,354.3135986328125
1669379043.0148096,139,337.42584228515625
1669379077.0048835,149,331.5813903808594
1669379110.80152,159,328.5044250488281
1669379144.2557027,169,328.3907470703125
1669379177.8827207,179,316.80340576171875
1669379211.5355508,189,290.93365478515625
1669379245.2233884,199,295.78497314453125
1669379279.2489219,209,279.5685729980469
1669379312.6942391,219,287.98992919921875
1669379346.2395945,229,301.2449035644531
1669379380.1445742,239,268.08416748046875
1669379413.9900398,249,287.05853271484375
1669379447.6517143,259,273.6574401855469
1669379480.8787465,269,284.677001953125
1669379514.6432688,279,291.1241760253906
1669379548.1594393,289,283.87646484375
1669379581.5206816,299,279.0009765625
1669379614.962584,309,287.9739685058594
1669379648.7726023,319,273.8028564453125
1669379682.274347,329,279.8341064453125
1669379715.776267,339,294.1678466796875
1669379749.1719997,349,304.6981506347656
1669379782.8145895,359,293.1966247558594
1669379816.2365246,369,264.0965270996094
1669379850.0226119,379,260.2698669433594
1669379883.2648509,389,231.303466796875
1669379916.344775,399,242.91612243652344
1669379949.7236784,409,233.44308471679688
1669379982.8522906,419,246.7676239013672
1669380016.383001,429,261.5094909667969
1669380050.3510551,439,228.6868896484375
1669380084.1909192,449,246.34849548339844
1669380117.86225,459,243.66873168945312
1669380151.1247547,469,227.44400024414062
1669380184.3158102,479,217.3520965576172
1669380217.9367478,489,248.04931640625
1669380251.1868157,499,234.16773986816406
1669380284.5161955,509,237.53041076660156
1669380317.8565521,519,233.9916229248047
1669380351.096619,529,218.1791534423828
1669380384.2185726,539,238.9419403076172
1669380417.5784273,549,243.6431427001953
1669380450.5369203,559,233.87826538085938
1669380483.9803488,569,222.10159301757812
1669380517.0402672,579,217.83103942871094
1669380552.3155386,589,234.58689880371094
1669380585.4082499,599,225.95094299316406
1669380618.6772661,609,224.5039520263672
1669380651.9889812,619,204.45993041992188
1669380685.2225692,629,223.86270141601562
1669380720.1267686,639,228.5102996826172
1669380755.2340882,649,221.55735778808594
1669380788.5213423,659,206.85134887695312
1669380821.741744,669,200.87896728515625
1669380855.173096,679,201.05812072753906
1669380888.674764,689,210.65553283691406
1669380921.9220529,699,205.94039916992188
1669380955.1970909,709,218.84469604492188
1669380988.869187,719,222.83206176757812
1669381021.8959098,729,225.2212677001953
1669381058.8098838,739,220.48666381835938
1669381092.2863743,749,219.58570861816406
1669381125.6866908,759,218.98666381835938
1669381158.9150162,769,222.4025421142578
1669381192.277579,779,233.27024841308594
1669381225.3808074,789,207.29788208007812
1669381258.5464628,799,201.01705932617188
1669381291.7786758,809,200.34584045410156
1669381324.9597335,819,196.5436248779297
1669381358.2531607,829,206.09072875976562
1669381392.0777957,839,218.44198608398438
1669381425.5810015,849,216.28684997558594
1669381458.65919,859,194.5726776123047
1669381491.8547676,869,189.28994750976562
1669381525.1761189,879,188.52297973632812
1669381558.7800615,889,201.27740478515625
1669381592.4958231,899,192.90684509277344
1669381625.8691912,909,202.28440856933594
1669381659.6264586,919,197.50665283203125
1669381693.1833403,929,175.90396118164062
1669381726.589865,939,181.14456176757812
1669381760.4205496,949,192.0074005126953
1669381793.7436543,959,183.0228271484375
1669381827.1075697,969,183.95091247558594
1669381862.4239242,979,188.66830444335938
1669381895.8150997,989,197.09422302246094
1669381929.2733903,999,202.36129760742188
