Wall time,Step,Value
1669406028.8049483,9,4209.26220703125
1669406056.353044,19,2718.555908203125
1669406084.3918374,29,2620.473388671875
1669406111.841223,39,2623.875
1669406139.8390617,49,2571.19140625
1669406167.2424796,59,2603.249267578125
1669406194.443689,69,2560.940673828125
1669406222.449364,79,2651.595947265625
1669406249.5626078,89,2588.37353515625
1669406276.8533325,99,2576.331298828125
1669406304.5002797,109,2599.16064453125
1669406331.8297606,119,2653.473876953125
1669406359.2102628,129,2686.630615234375
1669406386.1574924,139,2532.212646484375
1669406413.6429353,149,2563.771484375
1669406440.9613948,159,2575.245361328125
1669406468.4579673,169,2610.245361328125
1669406496.131601,179,2664.851806640625
1669406523.7305062,189,2546.1728515625
1669406551.4620378,199,2660.437255859375
1669406578.8503559,209,2472.794677734375
1669406606.271607,219,2576.55322265625
1669406633.9188452,229,2590.57177734375
1669406661.3923972,239,2521.794921875
1669406689.1635625,249,2504.34912109375
1669406717.0667176,259,2605.532958984375
1669406744.4863665,269,2586.493408203125
1669406772.049646,279,2640.5498046875
1669406799.6540873,289,2672.421142578125
1669406827.0089664,299,2504.347412109375
1669406854.7630324,309,2671.74609375
1669406882.0161145,319,2634.965576171875
1669406909.586783,329,2679.50244140625
1669406937.154526,339,2649.6787109375
1669406964.6707747,349,2586.77490234375
1669406992.3099098,359,2596.530029296875
1669407020.0699425,369,2594.11474609375
1669407047.7093124,379,2611.6904296875
1669407075.3556137,389,2523.82177734375
1669407102.9797654,399,2653.593017578125
1669407130.5895638,409,2612.115234375
1669407158.5407305,419,2577.585205078125
1669407186.295713,429,2659.1904296875
1669407214.0288138,439,2425.841796875
1669407241.587195,449,2642.68408203125
1669407269.2595963,459,2574.660400390625
1669407296.9254162,469,2580.65087890625
1669407324.638762,479,2531.672607421875
1669407352.178283,489,2582.64892578125
1669407379.6116934,499,2521.075927734375
1669407406.9727795,509,2661.37841796875
1669407434.6075854,519,2511.33935546875
1669407462.1730952,529,2545.646240234375
1669407489.6349359,539,2629.44775390625
1669407516.9916728,549,2581.5634765625
1669407544.5565975,559,2611.01611328125
1669407572.118492,569,2584.4873046875
1669407599.648133,579,2586.284912109375
1669407627.1814873,589,2527.764892578125
1669407654.707042,599,2454.205078125
1669407682.3005142,609,2596.04736328125
1669407710.0389132,619,2647.602783203125
1669407738.1620119,629,2608.198486328125
1669407765.7586591,639,2497.756591796875
1669407793.241391,649,2559.777099609375
1669407820.985188,659,2584.41357421875
1669407848.5115402,669,2659.443603515625
1669407875.8976974,679,2542.45263671875
1669407903.7199574,689,2593.50244140625
1669407931.4779546,699,2668.29248046875
1669407958.878079,709,2652.252685546875
1669407986.539548,719,2621.158203125
1669408014.1635869,729,2649.476806640625
1669408041.9356961,739,2652.989501953125
1669408069.6529222,749,2682.16162109375
1669408097.244457,759,2515.09326171875
1669408124.746651,769,2576.787841796875
1669408152.2148986,779,2606.976318359375
1669408179.6883216,789,2571.63818359375
1669408207.6963465,799,2593.814208984375
1669408235.5419405,809,2562.671875
1669408263.2993405,819,2580.153076171875
1669408290.726922,829,2647.96923828125
1669408318.1604078,839,2609.06494140625
1669408345.738821,849,2710.390625
1669408373.4357748,859,2637.73095703125
1669408401.0231135,869,2555.88427734375
1669408428.62397,879,2528.882568359375
1669408456.119155,889,2528.84033203125
1669408483.6577566,899,2587.059326171875
1669408511.0357504,909,2553.241943359375
1669408538.7137728,919,2583.96826171875
1669408565.973235,929,2550.852294921875
1669408593.7888093,939,2648.40673828125
1669408621.0215943,949,2590.65234375
1669408648.668943,959,2661.548583984375
1669408676.4310029,969,2637.420654296875
1669408704.0548284,979,2578.748779296875
1669408731.404862,989,2584.694580078125
1669408758.9076846,999,2637.08203125
