Wall time,Step,Value
1669564572.394653,19,24321.62890625
1669564603.1789742,39,9956.861328125
1669564634.2984467,59,8592.146484375
1669564665.459001,79,8303.9267578125
1669564696.6893415,99,7258.70849609375
1669564728.2534645,119,6923.201171875
1669564759.6926353,139,6555.6396484375
1669564791.0198512,159,6164.4609375
1669564822.790231,179,5730.78564453125
1669564854.8776095,199,6624.74462890625
1669564886.2727165,219,5876.1640625
1669564917.6397402,239,5696.912109375
1669564949.1859744,259,5620.07080078125
1669564980.6180677,279,5318.14306640625
1669565012.1772025,299,5514.0009765625
1669565044.4110947,319,5133.97119140625
1669565076.7269862,339,5279.72607421875
1669565108.3260357,359,5418.8681640625
1669565139.8672693,379,5149.35986328125
1669565171.101536,399,5466.75341796875
1669565203.8719616,419,4512.35205078125
1669565235.7512584,439,4845.2353515625
1669565267.0651739,459,5069.55126953125
1669565298.847314,479,5065.7802734375
1669565330.9020953,499,4939.30615234375
1669565362.4840536,519,4684.89013671875
1669565393.791019,539,5272.64892578125
1669565425.2770343,559,4794.8291015625
1669565456.6504614,579,5077.18603515625
1669565488.2261927,599,5343.47412109375
1669565520.0848172,619,4944.185546875
1669565551.2586267,639,4753.107421875
1669565582.643768,659,5505.0771484375
1669565614.3994076,679,4667.69482421875
1669565645.7082274,699,5015.80419921875
1669565677.5632,719,4539.0517578125
1669565709.380485,739,4844.037109375
1669565741.4042015,759,4681.365234375
1669565772.7480373,779,4317.9482421875
1669565804.2704523,799,4457.71826171875
1669565835.9981391,819,4499.24462890625
1669565867.745123,839,4334.947265625
1669565898.9619253,859,4653.0498046875
1669565930.169076,879,4521.703125
1669565961.7035913,899,4557.10791015625
1669565993.195515,919,4411.96728515625
1669566024.8649719,939,4292.3818359375
1669566056.5231447,959,4715.0390625
1669566088.1669953,979,4892.25341796875
1669566119.322741,999,4845.71533203125
1669566150.9020996,1019,4541.45068359375
1669566182.5174267,1039,4836.880859375
1669566213.6439605,1059,4573.06787109375
1669566245.181407,1079,4574.6943359375
1669566276.3273664,1099,4345.5146484375
1669566308.141767,1119,4261.8876953125
1669566339.587069,1139,4318.72705078125
1669566371.5465717,1159,4424.22412109375
1669566402.8834639,1179,4639.97998046875
1669566434.755632,1199,4494.6044921875
1669566465.8071995,1219,4426.57568359375
1669566497.5080867,1239,4377.10595703125
1669566528.8298376,1259,5082.0048828125
1669566560.5372703,1279,4148.3525390625
1669566591.7914555,1299,4429.69091796875
1669566623.1051702,1319,4293.3818359375
1669566654.498921,1339,4342.2431640625
1669566685.9445055,1359,4282.11865234375
1669566717.25425,1379,4825.50146484375
1669566748.544263,1399,4880.701171875
1669566779.8309863,1419,4528.546875
1669566811.1990085,1439,4511.638671875
1669566842.6347494,1459,4365.9384765625
1669566873.8384604,1479,4200.48193359375
1669566905.095878,1499,4264.6142578125
1669566937.0504346,1519,4234.16455078125
1669566968.794602,1539,4376.3994140625
1669567000.517864,1559,4095.3828125
1669567032.7634594,1579,4168.5205078125
1669567063.7499127,1599,4195.31884765625
1669567095.5241532,1619,4066.606689453125
1669567126.6689281,1639,4086.04052734375
1669567158.2749758,1659,4088.85400390625
1669567189.4178357,1679,4268.86376953125
1669567221.1414013,1699,4466.31982421875
1669567252.7536275,1719,4153.31982421875
1669567284.106173,1739,4093.45849609375
1669567315.9312527,1759,3846.448486328125
1669567347.2916129,1779,4081.93701171875
1669567378.4894907,1799,4403.99462890625
1669567410.0068796,1819,4414.25634765625
1669567441.9479365,1839,4752.1015625
1669567473.2883613,1859,4189.75439453125
1669567504.5833738,1879,4517.08984375
1669567536.096572,1899,4237.71875
1669567567.4895027,1919,4632.82861328125
1669567598.6893904,1939,4417.806640625
1669567630.2340803,1959,4243.349609375
1669567661.6852844,1979,4033.345458984375
1669567693.2884607,1999,3990.47119140625
